topic,feature,value
0,artist1445,0.00917593412005
0,artist686,0.0122477715814
0,artist1447,0.00242048680984
0,artist680,0.0667413607089
0,artist681,-0.000523971831784
0,artist1442,-0.0641839479774
0,artist683,0.0776746368443
0,artist266,-0.0103419296524
0,artist267,-0.049493760509
0,artist265,-0.00998938383113
0,artist262,-0.170006646141
0,artist263,-0.200239072515
0,artist260,0.110088942959
0,artist261,0.0730823278904
0,artist268,0.185133198853
0,artist1166,-0.0213895478688
0,location211,0.229047715892
0,location210,0.0725997227186
0,location212,-0.044839890437
0,location215,0.0945600071759
0,artist1165,0.0828864793514
0,location217,-0.0131544620514
0,location216,-0.252024048059
0,location219,0.103938497744
0,location218,-0.0378681713129
0,artist614,0.0886947602721
0,artist1169,-0.111403343
0,artist1168,-0.0227380834041
0,artist318,0.176898456222
0,artist319,-0.0139340580853
0,artist312,-0.103298711344
0,artist313,-0.0873557869883
0,artist316,0.00729822881759
0,artist317,-0.0161270932208
0,artist314,-0.0337507791703
0,artist315,0.0207551940535
0,artist915,-0.0203688769378
0,artist916,0.00836062486092
0,artist917,0.0120891662528
0,artist910,0.221014213661
0,artist912,0.000141721995168
0,artist913,0.00695949382755
0,artist918,-0.534713316983
0,artist919,-0.0181510054603
0,location365,-0.0309325274285
0,location364,-0.00416167344349
0,location367,-0.00810911075161
0,location366,-0.0396380918258
0,location361,-0.228741304273
0,location360,0.0205528636077
0,location363,-0.0757202778266
0,location362,-0.0142088185135
0,artist1444,-0.104019527927
0,location369,0.014966933762
0,location368,0.0423781280508
0,location149,0.0487823905709
0,location141,-0.0139340580853
0,location140,0.32552079244
0,location143,0.00752221262329
0,location142,0.331844546312
0,location145,-0.122210341688
0,location144,0.107406332354
0,<default>,-0.830614851148
0,location146,-0.00809462507759
0,location519,0.0291611695066
0,artist1307,-0.0244968252304
0,artist1306,0.0270860254921
0,artist1305,-0.00482338850703
0,artist1304,0.00632423592974
0,artist868,-0.0250223346428
0,artist869,0.0413828610572
0,artist1300,-0.0156003318335
0,artist864,0.273624573023
0,artist865,0.00591845658298
0,artist866,-0.0222994733805
0,artist867,-0.0191837477741
0,artist861,0.000931368154136
0,artist862,0.175224405597
0,artist863,-0.0787877711056
